ROWHEADER,Test,ODI,T20,IPL,name,country
BBI,0/1,-/-,-/-,-/-,Cheteshwar Pujara,India
BBM,0/1,-/-,-/-,-/-,Cheteshwar Pujara,India
4w,0,0,0,0,Cheteshwar Pujara,India
5w,0,0,0,0,Cheteshwar Pujara,India
10w,0,0,0,0,Cheteshwar Pujara,India
Matches,85,90,20,192,Ajinkya Rahane,India
Innings,0,0,0,1,Ajinkya Rahane,India
Balls,0,0,0,6,Ajinkya Rahane,India
Runs,0,0,0,5,Ajinkya Rahane,India
Maidens,0,0,0,0,Ajinkya Rahane,India
Wickets,0,0,0,1,Ajinkya Rahane,India
Avg,0,0,0,5,Ajinkya Rahane,India
Eco,0,0,0,5,Ajinkya Rahane,India
SR,0,0,0,6,Ajinkya Rahane,India
BBI,-/-,-/-,-/-,01-May,Ajinkya Rahane,India
BBM,-/-,-/-,-/-,01-May,Ajinkya Rahane,India
4w,0,0,0,0,Ajinkya Rahane,India
5w,0,0,0,0,Ajinkya Rahane,India
10w,0,0,0,0,Ajinkya Rahane,India
Matches,0,6,23,71,Ruturaj Gaikwad,India
Innings,0,0,0,0,Ruturaj Gaikwad,India
Balls,0,0,0,0,Ruturaj Gaikwad,India
Runs,0,0,0,0,Ruturaj Gaikwad,India
Maidens,0,0,0,0,Ruturaj Gaikwad,India
Wickets,0,0,0,0,Ruturaj Gaikwad,India
Avg,0,0,0,0,Ruturaj Gaikwad,India
Eco,0,0,0,0,Ruturaj Gaikwad,India
SR,0,0,0,0,Ruturaj Gaikwad,India
BBI,-/-,-/-,-/-,-/-,Ruturaj Gaikwad,India
BBM,-/-,-/-,-/-,-/-,Ruturaj Gaikwad,India
4w,0,0,0,0,Ruturaj Gaikwad,India
5w,0,0,0,0,Ruturaj Gaikwad,India
10w,0,0,0,0,Ruturaj Gaikwad,India
Matches,11,94,114,143,Hardik Pandya,India
Innings,19,88,102,99,Hardik Pandya,India
Balls,937,3460,1817,1538,Hardik Pandya,India
Runs,528,3231,2485,2333,Hardik Pandya,India
Maidens,19,16,4,0,Hardik Pandya,India
Wickets,17,91,94,75,Hardik Pandya,India
Avg,31.06,35.51,26.44,31.11,Hardik Pandya,India
Eco,3.38,5.6,8.21,9.1,Hardik Pandya,India
SR,55.12,38.02,19.33,20.51,Hardik Pandya,India
BBI,May-28,Apr-24,Apr-16,May-36,Hardik Pandya,India
BBM,Jun-50,Apr-24,Apr-16,May-36,Hardik Pandya,India
4w,0,1,3,0,Hardik Pandya,India
5w,1,0,0,1,Hardik Pandya,India
10w,0,0,0,0,Hardik Pandya,India
Matches,16,0,0,24,Hanuma Vihari,India
Innings,10,0,0,6,Hanuma Vihari,India
Balls,345,0,0,42,Hanuma Vihari,India
Runs,180,0,0,47,Hanuma Vihari,India
Maidens,10,0,0,0,Hanuma Vihari,India
Wickets,5,0,0,1,Hanuma Vihari,India
Avg,36,0,0,47,Hanuma Vihari,India
Eco,3.13,0,0,6.71,Hanuma Vihari,India
SR,69,0,0,42,Hanuma Vihari,India
BBI,Mar-37,-/-,-/-,01-May,Hanuma Vihari,India
BBM,Mar-38,-/-,-/-,01-May,Hanuma Vihari,India
4w,0,0,0,0,Hanuma Vihari,India
5w,0,0,0,0,Hanuma Vihari,India
10w,0,0,0,0,Hanuma Vihari,India
Matches,80,204,74,247,Ravindra Jadeja,India
Innings,150,196,71,218,Ravindra Jadeja,India
Balls,18473,10116,1356,3926,Ravindra Jadeja,India
Runs,7798,8180,1612,5002,Ravindra Jadeja,India
Maidens,729,59,4,2,Ravindra Jadeja,India
Wickets,323,231,54,164,Ravindra Jadeja,India
Avg,24.14,35.41,29.85,30.5,Ravindra Jadeja,India
Eco,2.53,4.85,7.13,7.64,Ravindra Jadeja,India
SR,57.19,43.79,25.11,23.94,Ravindra Jadeja,India
BBI,Jul-42,May-33,Mar-15,May-16,Ravindra Jadeja,India
BBM,10/110,May-33,Mar-15,May-16,Ravindra Jadeja,India
4w,13,7,0,3,Ravindra Jadeja,India
5w,15,2,0,1,Ravindra Jadeja,India
10w,3,0,0,0,Ravindra Jadeja,India
Matches,11,47,25,102,Shardul Thakur,India
Innings,19,46,24,99,Shardul Thakur,India
Balls,1449,1940,506,2016,Shardul Thakur,India
Runs,880,2014,772,3143,Shardul Thakur,India
Maidens,36,10,0,3,Shardul Thakur,India
Wickets,31,65,33,105,Shardul Thakur,India
Avg,28.39,30.98,23.39,29.93,Shardul Thakur,India
Eco,3.64,6.23,9.15,9.35,Shardul Thakur,India
SR,46.74,29.85,15.33,19.2,Shardul Thakur,India
BBI,Jul-61,Apr-37,Apr-27,Apr-34,Shardul Thakur,India
BBM,8/108,Apr-37,Apr-27,Apr-34,Shardul Thakur,India
4w,1,3,1,2,Shardul Thakur,India
5w,1,0,0,0,Shardul Thakur,India
10w,0,0,0,0,Shardul Thakur,India
Matches,106,116,65,217,Ravichandran Ashwin,India
Innings,200,114,65,214,Ravichandran Ashwin,India
Balls,27246,6303,1452,4644,Ravichandran Ashwin,India
Runs,12891,5180,1672,5567,Ravichandran Ashwin,India
Maidens,907,37,3,4,Ravichandran Ashwin,India
Wickets,537,156,72,185,Ravichandran Ashwin,India
Avg,24.01,33.21,23.22,30.09,Ravichandran Ashwin,India
Eco,2.84,4.93,6.91,7.19,Ravichandran Ashwin,India
SR,50.74,40.4,20.17,25.1,Ravichandran Ashwin,India
BBI,Jul-59,Apr-25,04-Aug,Apr-34,Ravichandran Ashwin,India
BBM,13/140,Apr-25,04-Aug,Apr-34,Ravichandran Ashwin,India
4w,25,1,2,1,Ravichandran Ashwin,India
5w,37,0,0,0,Ravichandran Ashwin,India
10w,8,0,0,0,Ravichandran Ashwin,India
Matches,58,85,72,137,KL Rahul,India
Innings,0,0,0,0,KL Rahul,India
Balls,0,0,0,0,KL Rahul,India
Runs,0,0,0,0,KL Rahul,India
Maidens,0,0,0,0,KL Rahul,India
Wickets,0,0,0,0,KL Rahul,India
Avg,0,0,0,0,KL Rahul,India
Eco,0,0,0,0,KL Rahul,India
SR,0,0,0,0,KL Rahul,India
BBI,-/-,-/-,-/-,-/-,KL Rahul,India
BBM,-/-,-/-,-/-,-/-,KL Rahul,India
4w,0,0,0,0,KL Rahul,India
5w,0,0,0,0,KL Rahul,India
10w,0,0,0,0,KL Rahul,India
Matches,0,16,42,174,Sanju Samson,India
Innings,0,0,0,0,Sanju Samson,India
Balls,0,0,0,0,Sanju Samson,India
Runs,0,0,0,0,Sanju Samson,India
Maidens,0,0,0,0,Sanju Samson,India
Wickets,0,0,0,0,Sanju Samson,India
Avg,0,0,0,0,Sanju Samson,India
Eco,0,0,0,0,Sanju Samson,India
SR,0,0,0,0,Sanju Samson,India
BBI,-/-,-/-,-/-,-/-,Sanju Samson,India
BBM,-/-,-/-,-/-,-/-,Sanju Samson,India
4w,0,0,0,0,Sanju Samson,India
5w,0,0,0,0,Sanju Samson,India
10w,0,0,0,0,Sanju Samson,India
Matches,40,9,0,170,Wriddhiman Saha,India
Innings,0,0,0,0,Wriddhiman Saha,India
Balls,0,0,0,0,Wriddhiman Saha,India
Runs,0,0,0,0,Wriddhiman Saha,India
Maidens,0,0,0,0,Wriddhiman Saha,India
Wickets,0,0,0,0,Wriddhiman Saha,India
Avg,0,0,0,0,Wriddhiman Saha,India
Eco,0,0,0,0,Wriddhiman Saha,India
SR,0,0,0,0,Wriddhiman Saha,India
BBI,-/-,-/-,-/-,-/-,Wriddhiman Saha,India
BBM,-/-,-/-,-/-,-/-,Wriddhiman Saha,India
4w,0,0,0,0,Wriddhiman Saha,India
5w,0,0,0,0,Wriddhiman Saha,India
10w,0,0,0,0,Wriddhiman Saha,India
Matches,43,31,76,118,Rishabh Pant,India
Innings,0,0,0,0,Rishabh Pant,India
Balls,0,0,0,0,Rishabh Pant,India
Runs,0,0,0,0,Rishabh Pant,India
Maidens,0,0,0,0,Rishabh Pant,India
Wickets,0,0,0,0,Rishabh Pant,India
Avg,0,0,0,0,Rishabh Pant,India
Eco,0,0,0,0,Rishabh Pant,India
SR,0,0,0,0,Rishabh Pant,India
BBI,-/-,-/-,-/-,-/-,Rishabh Pant,India
BBM,-/-,-/-,-/-,-/-,Rishabh Pant,India
4w,0,0,0,0,Rishabh Pant,India
5w,0,0,0,0,Rishabh Pant,India
10w,0,0,0,0,Rishabh Pant,India
Matches,64,108,25,117,Mohammed Shami,India
Innings,122,107,25,117,Mohammed Shami,India
Balls,11515,5326,510,2570,Mohammed Shami,India
Runs,6346,4955,761,3672,Mohammed Shami,India
Maidens,364,52,1,3,Mohammed Shami,India
Wickets,229,206,27,132,Mohammed Shami,India
Avg,27.71,24.05,28.19,27.82,Mohammed Shami,India
Eco,3.31,5.58,8.95,8.57,Mohammed Shami,India
SR,50.28,25.85,18.89,19.47,Mohammed Shami,India
BBI,Jun-56,Jul-57,Mar-15,04-Nov,Mohammed Shami,India
BBM,9/118,Jul-57,Mar-15,04-Nov,Mohammed Shami,India
4w,12,10,0,2,Mohammed Shami,India
5w,6,6,0,0,Mohammed Shami,India
10w,0,0,0,0,Mohammed Shami,India
Matches,45,89,70,136,Jasprit Bumrah,India
Innings,86,88,69,136,Jasprit Bumrah,India
Balls,8630,4580,1509,3125,Jasprit Bumrah,India
Runs,3977,3509,1579,3810,Jasprit Bumrah,India
Maidens,344,57,12,7,Jasprit Bumrah,India
Wickets,205,149,89,167,Jasprit Bumrah,India
Avg,19.4,23.55,17.74,22.81,Jasprit Bumrah,India
Eco,2.77,4.6,6.28,7.32,Jasprit Bumrah,India
SR,42.1,30.74,16.96,18.71,Jasprit Bumrah,India
BBI,Jun-27,Jun-19,03-Jul,05-Oct,Jasprit Bumrah,India
BBM,Sep-86,Jun-19,03-Jul,05-Oct,Jasprit Bumrah,India
4w,7,6,0,2,Jasprit Bumrah,India
5w,13,2,0,2,Jasprit Bumrah,India
10w,0,0,0,0,Jasprit Bumrah,India
Matches,13,113,40,90,Kuldeep Yadav,India
Innings,24,110,39,88,Kuldeep Yadav,India
Balls,2093,5754,860,1890,Kuldeep Yadav,India
Runs,1241,4786,971,2533,Kuldeep Yadav,India
Maidens,46,30,2,1,Kuldeep Yadav,India
Wickets,56,181,69,98,Kuldeep Yadav,India
Avg,22.16,26.44,14.07,25.85,Kuldeep Yadav,India
Eco,3.56,4.99,6.77,8.04,Kuldeep Yadav,India
SR,37.38,31.79,12.46,19.29,Kuldeep Yadav,India
BBI,May-40,Jun-25,May-17,Apr-14,Kuldeep Yadav,India
BBM,8/113,Jun-25,May-17,Apr-14,Kuldeep Yadav,India
4w,3,7,1,4,Kuldeep Yadav,India
5w,4,2,2,0,Kuldeep Yadav,India
10w,0,0,0,0,Kuldeep Yadav,India
Matches,0,72,80,166,Yuzvendra Chahal,India
Innings,0,69,79,165,Yuzvendra Chahal,India
Balls,0,3739,1764,3635,Yuzvendra Chahal,India
Runs,0,3283,2409,4797,Yuzvendra Chahal,India
Maidens,0,14,2,4,Yuzvendra Chahal,India
Wickets,0,121,96,211,Yuzvendra Chahal,India
Avg,0,27.13,25.09,22.73,Yuzvendra Chahal,India
Eco,0,5.27,8.19,7.92,Yuzvendra Chahal,India
SR,0,30.9,18.38,17.23,Yuzvendra Chahal,India
BBI,-/-,Jun-42,Jun-25,May-40,Yuzvendra Chahal,India
BBM,-/-,Jun-42,Jun-25,May-40,Yuzvendra Chahal,India
4w,0,5,2,7,Yuzvendra Chahal,India
5w,0,2,1,1,Yuzvendra Chahal,India
10w,0,0,0,0,Yuzvendra Chahal,India
Matches,2,8,11,32,Navdeep Saini,India
Innings,4,8,9,32,Navdeep Saini,India
Balls,251,420,197,658,Navdeep Saini,India
Runs,172,481,235,974,Navdeep Saini,India
Maidens,5,0,1,1,Navdeep Saini,India
Wickets,4,6,13,23,Navdeep Saini,India
Avg,43,80.17,18.08,42.35,Navdeep Saini,India
Eco,4.11,6.87,7.16,8.88,Navdeep Saini,India
SR,62.75,70,15.15,28.61,Navdeep Saini,India
BBI,Feb-54,Feb-58,Mar-17,Mar-40,Navdeep Saini,India
BBM,4/119,Feb-58,Mar-17,Mar-40,Navdeep Saini,India
4w,0,0,0,0,Navdeep Saini,India
5w,0,0,0,0,Navdeep Saini,India
10w,0,0,0,0,Navdeep Saini,India
Matches,57,75,9,148,Umesh Yadav,India
Innings,112,73,9,147,Umesh Yadav,India
Balls,8979,3558,180,3050,Umesh Yadav,India
Runs,5263,3565,280,4317,Umesh Yadav,India
Maidens,245,23,0,5,Umesh Yadav,India
Wickets,170,106,12,144,Umesh Yadav,India
Avg,30.96,33.63,23.33,29.98,Umesh Yadav,India
Eco,3.52,6.01,9.33,8.49,Umesh Yadav,India
SR,52.82,33.57,15,21.18,Umesh Yadav,India
BBI,Jun-88,Apr-31,Feb-19,Apr-23,Umesh Yadav,India
BBM,10/133,Apr-31,Feb-19,Apr-23,Umesh Yadav,India
4w,6,4,0,3,Umesh Yadav,India
5w,3,0,0,0,Umesh Yadav,India
10w,1,0,0,0,Umesh Yadav,India
Matches,36,44,16,99,Mohammed Siraj,India
Innings,67,43,16,99,Mohammed Siraj,India
Balls,5306,1975,348,2102,Mohammed Siraj,India
Runs,3074,1708,452,3026,Mohammed Siraj,India
Maidens,164,32,2,4,Mohammed Siraj,India
Wickets,100,71,14,103,Mohammed Siraj,India
Avg,30.74,24.06,32.29,29.38,Mohammed Siraj,India
Eco,3.48,5.19,7.79,8.64,Mohammed Siraj,India
SR,53.06,27.82,24.86,20.41,Mohammed Siraj,India
BBI,Jun-15,Jun-21,Apr-17,Apr-17,Mohammed Siraj,India
BBM,8/126,Jun-21,Apr-17,Apr-17,Mohammed Siraj,India
4w,6,2,1,3,Mohammed Siraj,India
5w,3,1,0,0,Mohammed Siraj,India
10w,0,0,0,0,Mohammed Siraj,India
Matches,70,243,78,0,Tamim Iqbal,Bangladesh
Innings,5,2,0,0,Tamim Iqbal,Bangladesh
Balls,30,6,0,0,Tamim Iqbal,Bangladesh
Runs,20,13,0,0,Tamim Iqbal,Bangladesh
Maidens,0,0,0,0,Tamim Iqbal,Bangladesh
Wickets,0,0,0,0,Tamim Iqbal,Bangladesh
Avg,0,0,0,0,Tamim Iqbal,Bangladesh
Eco,4,13,0,0,Tamim Iqbal,Bangladesh
SR,0,0,0,0,Tamim Iqbal,Bangladesh
BBI,0/1,0/6,-/-,-/-,Tamim Iqbal,Bangladesh
BBM,0/1,0/6,-/-,-/-,Tamim Iqbal,Bangladesh
4w,0,0,0,0,Tamim Iqbal,Bangladesh
5w,0,0,0,0,Tamim Iqbal,Bangladesh
10w,0,0,0,0,Tamim Iqbal,Bangladesh
Matches,16,76,87,0,Soumya Sarkar,Bangladesh
Innings,12,27,28,0,Soumya Sarkar,Bangladesh
Balls,508,558,288,0,Soumya Sarkar,Bangladesh
Runs,336,567,451,0,Soumya Sarkar,Bangladesh
Maidens,3,1,0,0,Soumya Sarkar,Bangladesh
Wickets,4,16,12,0,Soumya Sarkar,Bangladesh
Avg,84,35.44,37.58,0,Soumya Sarkar,Bangladesh
Eco,3.97,6.1,9.4,0,Soumya Sarkar,Bangladesh
SR,127,34.88,24,0,Soumya Sarkar,Bangladesh
BBI,Feb-68,Mar-18,Feb-19,-/-,Soumya Sarkar,Bangladesh
BBM,Feb-68,Mar-18,Feb-19,-/-,Soumya Sarkar,Bangladesh
4w,0,0,0,0,Soumya Sarkar,Bangladesh
5w,0,0,0,0,Soumya Sarkar,Bangladesh
10w,0,0,0,0,Soumya Sarkar,Bangladesh
Matches,11,66,48,0,Sabbir Rahman,Bangladesh
Innings,7,21,9,0,Sabbir Rahman,Bangladesh
Balls,144,306,73,0,Sabbir Rahman,Bangladesh
Runs,98,345,79,0,Sabbir Rahman,Bangladesh
Maidens,1,0,0,0,Sabbir Rahman,Bangladesh
Wickets,0,3,6,0,Sabbir Rahman,Bangladesh
Avg,0,115,13.17,0,Sabbir Rahman,Bangladesh
Eco,4.08,6.76,6.49,0,Sabbir Rahman,Bangladesh
SR,0,102,12.17,0,Sabbir Rahman,Bangladesh
BBI,0/9,01-Dec,03-Nov,-/-,Sabbir Rahman,Bangladesh
BBM,0/9,01-Dec,03-Nov,-/-,Sabbir Rahman,Bangladesh
4w,0,0,0,0,Sabbir Rahman,Bangladesh
5w,0,0,0,0,Sabbir Rahman,Bangladesh
10w,0,0,0,0,Sabbir Rahman,Bangladesh
Matches,50,239,141,0,Mahmudullah,Bangladesh
Innings,66,153,80,0,Mahmudullah,Bangladesh
Balls,3423,4380,950,0,Mahmudullah,Bangladesh
Runs,1958,3810,1135,0,Mahmudullah,Bangladesh
Maidens,56,14,2,0,Mahmudullah,Bangladesh
Wickets,43,82,41,0,Mahmudullah,Bangladesh
Avg,45.53,46.46,27.68,0,Mahmudullah,Bangladesh
Eco,3.43,5.22,7.17,0,Mahmudullah,Bangladesh
SR,79.6,53.41,23.17,0,Mahmudullah,Bangladesh
BBI,May-51,03-Apr,03-Oct,-/-,Mahmudullah,Bangladesh
BBM,8/110,03-Apr,03-Oct,-/-,Mahmudullah,Bangladesh
4w,0,0,0,0,Mahmudullah,Bangladesh
5w,1,0,0,0,Mahmudullah,Bangladesh
10w,0,0,0,0,Mahmudullah,Bangladesh
Matches,71,247,129,71,Shakib Al Hasan,Bangladesh
Innings,121,241,126,70,Shakib Al Hasan,Bangladesh
Balls,15675,12575,2745,1484,Shakib Al Hasan,Bangladesh
Runs,7803,9360,3116,1839,Shakib Al Hasan,Bangladesh
Maidens,487,102,3,1,Shakib Al Hasan,Bangladesh
Wickets,246,317,149,63,Shakib Al Hasan,Bangladesh
Avg,31.72,29.53,20.91,29.19,Shakib Al Hasan,Bangladesh
Eco,2.99,4.47,6.81,7.44,Shakib Al Hasan,Bangladesh
SR,63.72,39.67,18.42,23.56,Shakib Al Hasan,Bangladesh
BBI,Jul-36,May-29,May-20,Mar-17,Shakib Al Hasan,Bangladesh
BBM,10/124,May-29,May-20,Mar-17,Shakib Al Hasan,Bangladesh
4w,11,10,6,0,Shakib Al Hasan,Bangladesh
5w,19,4,2,0,Shakib Al Hasan,Bangladesh
10w,2,0,0,0,Shakib Al Hasan,Bangladesh
Matches,4,43,33,0,Mosaddek Hossain,Bangladesh
Innings,6,41,26,0,Mosaddek Hossain,Bangladesh
Balls,162,1130,331,0,Mosaddek Hossain,Bangladesh
Runs,87,969,398,0,Mosaddek Hossain,Bangladesh
Maidens,2,2,1,0,Mosaddek Hossain,Bangladesh
Wickets,0,17,18,0,Mosaddek Hossain,Bangladesh
Avg,0,57,22.11,0,Mosaddek Hossain,Bangladesh
Eco,3.22,5.15,7.21,0,Mosaddek Hossain,Bangladesh
SR,0,66.47,18.39,0,Mosaddek Hossain,Bangladesh
BBI,0/1,Mar-13,May-20,-/-,Mosaddek Hossain,Bangladesh
BBM,0/4,Mar-13,May-20,-/-,Mosaddek Hossain,Bangladesh
4w,0,0,0,0,Mosaddek Hossain,Bangladesh
5w,0,0,1,0,Mosaddek Hossain,Bangladesh
10w,0,0,0,0,Mosaddek Hossain,Bangladesh
Matches,0,29,38,0,Mohammad Saifuddin,Bangladesh
Innings,0,28,38,0,Mohammad Saifuddin,Bangladesh
Balls,0,1283,797,0,Mohammad Saifuddin,Bangladesh
Runs,0,1279,1158,0,Mohammad Saifuddin,Bangladesh
Maidens,0,7,0,0,Mohammad Saifuddin,Bangladesh
Wickets,0,41,42,0,Mohammad Saifuddin,Bangladesh
Avg,0,31.2,27.57,0,Mohammad Saifuddin,Bangladesh
Eco,0,5.98,8.72,0,Mohammad Saifuddin,Bangladesh
SR,0,31.29,18.98,0,Mohammad Saifuddin,Bangladesh
BBI,-/-,Apr-41,Apr-33,-/-,Mohammad Saifuddin,Bangladesh
BBM,-/-,Apr-41,Apr-33,-/-,Mohammad Saifuddin,Bangladesh
4w,0,1,1,0,Mohammad Saifuddin,Bangladesh
5w,0,0,0,0,Mohammad Saifuddin,Bangladesh
10w,0,0,0,0,Mohammad Saifuddin,Bangladesh
Matches,51,105,29,0,Mehidy Hasan Miraz,Bangladesh
Innings,89,102,26,0,Mehidy Hasan Miraz,Bangladesh
Balls,12069,5037,378,0,Mehidy Hasan Miraz,Bangladesh
Runs,6381,4061,539,0,Mehidy Hasan Miraz,Bangladesh
Maidens,299,35,0,0,Mehidy Hasan Miraz,Bangladesh
Wickets,190,110,14,0,Mehidy Hasan Miraz,Bangladesh
Avg,33.58,36.92,38.5,0,Mehidy Hasan Miraz,Bangladesh
Eco,3.17,4.84,8.56,0,Mehidy Hasan Miraz,Bangladesh
SR,63.52,45.79,27,0,Mehidy Hasan Miraz,Bangladesh
BBI,Jul-58,Apr-25,04-Dec,-/-,Mehidy Hasan Miraz,Bangladesh
BBM,12/117,Apr-25,04-Dec,-/-,Mehidy Hasan Miraz,Bangladesh
4w,9,5,1,0,Mehidy Hasan Miraz,Bangladesh
5w,10,0,0,0,Mehidy Hasan Miraz,Bangladesh
10w,2,0,0,0,Mehidy Hasan Miraz,Bangladesh
Matches,94,274,102,0,Mushfiqur Rahim,Bangladesh
Innings,0,0,0,0,Mushfiqur Rahim,Bangladesh
Balls,0,0,0,0,Mushfiqur Rahim,Bangladesh
Runs,0,0,0,0,Mushfiqur Rahim,Bangladesh
Maidens,0,0,0,0,Mushfiqur Rahim,Bangladesh
Wickets,0,0,0,0,Mushfiqur Rahim,Bangladesh
Avg,0,0,0,0,Mushfiqur Rahim,Bangladesh
Eco,0,0,0,0,Mushfiqur Rahim,Bangladesh
SR,0,0,0,0,Mushfiqur Rahim,Bangladesh
BBI,-/-,-/-,-/-,-/-,Mushfiqur Rahim,Bangladesh
BBM,-/-,-/-,-/-,-/-,Mushfiqur Rahim,Bangladesh
