ROWHEADER,Test,ODI,T20,IPL,name,country
200s,0,0,0,0,Yuzvendra Chahal,India
300s,0,0,0,0,Yuzvendra Chahal,India
400s,0,0,0,0,Yuzvendra Chahal,India
Matches,2,8,11,32,Navdeep Saini,India
Innings,3,5,3,7,Navdeep Saini,India
Runs,8,107,12,33,Navdeep Saini,India
Balls,27,137,11,37,Navdeep Saini,India
Highest,5,45,11,12,Navdeep Saini,India
Average,4,53.5,0,8.25,Navdeep Saini,India
SR,29.63,78.11,109.1,89.19,Navdeep Saini,India
Not Out,1,3,3,3,Navdeep Saini,India
Fours,1,9,2,3,Navdeep Saini,India
Sixes,0,3,0,0,Navdeep Saini,India
Ducks,0,0,0,0,Navdeep Saini,India
50s,0,0,0,0,Navdeep Saini,India
100s,0,0,0,0,Navdeep Saini,India
200s,0,0,0,0,Navdeep Saini,India
300s,0,0,0,0,Navdeep Saini,India
400s,0,0,0,0,Navdeep Saini,India
Matches,57,75,9,148,Umesh Yadav,India
Innings,68,24,2,52,Umesh Yadav,India
Runs,460,79,22,208,Umesh Yadav,India
Balls,883,134,21,201,Umesh Yadav,India
Highest,31,18,20,24,Umesh Yadav,India
Average,11.22,7.9,22,9.9,Umesh Yadav,India
SR,52.1,58.96,104.77,103.49,Umesh Yadav,India
Not Out,27,14,1,31,Umesh Yadav,India
Fours,42,8,2,16,Umesh Yadav,India
Sixes,24,1,0,9,Umesh Yadav,India
Ducks,9,4,0,8,Umesh Yadav,India
50s,0,0,0,0,Umesh Yadav,India
100s,0,0,0,0,Umesh Yadav,India
200s,0,0,0,0,Umesh Yadav,India
300s,0,0,0,0,Umesh Yadav,India
400s,0,0,0,0,Umesh Yadav,India
Matches,36,44,16,99,Mohammed Siraj,India
Innings,49,17,5,25,Mohammed Siraj,India
Runs,131,55,14,109,Mohammed Siraj,India
Balls,356,129,16,119,Mohammed Siraj,India
Highest,16,9,7,14,Mohammed Siraj,India
Average,4.85,7.86,7,10.9,Mohammed Siraj,India
