ROWHEADER,Test,ODI,T20,IPL,name,country
Not Out,0,9,10,0,Mohammad Saifuddin,Bangladesh
Fours,0,29,16,0,Mohammad Saifuddin,Bangladesh
Sixes,0,6,7,0,Mohammad Saifuddin,Bangladesh
Ducks,0,1,2,0,Mohammad Saifuddin,Bangladesh
50s,0,2,0,0,Mohammad Saifuddin,Bangladesh
100s,0,0,0,0,Mohammad Saifuddin,Bangladesh
200s,0,0,0,0,Mohammad Saifuddin,Bangladesh
300s,0,0,0,0,Mohammad Saifuddin,Bangladesh
400s,0,0,0,0,Mohammad Saifuddin,Bangladesh
Matches,51,105,29,0,Mehidy Hasan Miraz,Bangladesh
Innings,93,76,24,0,Mehidy Hasan Miraz,Bangladesh
Runs,1952,1617,354,0,Mehidy Hasan Miraz,Bangladesh
Balls,3920,2105,305,0,Mehidy Hasan Miraz,Bangladesh
Highest,103,112,46,0,Mehidy Hasan Miraz,Bangladesh
Average,23.52,24.5,17.7,0,Mehidy Hasan Miraz,Bangladesh
SR,49.8,76.82,116.07,0,Mehidy Hasan Miraz,Bangladesh
Not Out,10,10,4,0,Mehidy Hasan Miraz,Bangladesh
Fours,231,137,29,0,Mehidy Hasan Miraz,Bangladesh
Sixes,20,27,10,0,Mehidy Hasan Miraz,Bangladesh
Ducks,6,4,2,0,Mehidy Hasan Miraz,Bangladesh
50s,9,6,0,0,Mehidy Hasan Miraz,Bangladesh
100s,1,2,0,0,Mehidy Hasan Miraz,Bangladesh
200s,0,0,0,0,Mehidy Hasan Miraz,Bangladesh
300s,0,0,0,0,Mehidy Hasan Miraz,Bangladesh
400s,0,0,0,0,Mehidy Hasan Miraz,Bangladesh
Matches,94,274,102,0,Mushfiqur Rahim,Bangladesh
Innings,174,256,93,0,Mushfiqur Rahim,Bangladesh
Runs,6007,7795,1500,0,Mushfiqur Rahim,Bangladesh
Balls,12392,9780,1305,0,Mushfiqur Rahim,Bangladesh
Highest,219,144,72,0,Mushfiqur Rahim,Bangladesh
Average,37.54,36.26,19.23,0,Mushfiqur Rahim,Bangladesh
SR,48.48,79.71,114.95,0,Mushfiqur Rahim,Bangladesh
Not Out,14,41,15,0,Mushfiqur Rahim,Bangladesh
Fours,713,617,126,0,Mushfiqur Rahim,Bangladesh
Sixes,36,100,37,0,Mushfiqur Rahim,Bangladesh
Ducks,13,12,8,0,Mushfiqur Rahim,Bangladesh
50s,27,49,6,0,Mushfiqur Rahim,Bangladesh
100s,11,9,0,0,Mushfiqur Rahim,Bangladesh
200s,3,0,0,0,Mushfiqur Rahim,Bangladesh
300s,0,0,0,0,Mushfiqur Rahim,Bangladesh
400s,0,0,0,0,Mushfiqur Rahim,Bangladesh
Matches,48,94,95,1,Litton Das,Bangladesh
Innings,84,93,93,1,Litton Das,Bangladesh
Runs,2788,2569,2021,4,Litton Das,Bangladesh
Balls,4740,2986,1619,4,Litton Das,Bangladesh
Highest,141,176,83,4,Litton Das,Bangladesh
Average,33.59,29.53,22.46,4,Litton Das,Bangladesh
SR,58.82,86.04,124.84,100,Litton Das,Bangladesh
Not Out,1,6,3,0,Litton Das,Bangladesh
Fours,345,274,210,1,Litton Das,Bangladesh
Sixes,16,45,58,0,Litton Das,Bangladesh
Ducks,2,15,6,0,Litton Das,Bangladesh
50s,17,12,11,0,Litton Das,Bangladesh
100s,4,5,0,0,Litton Das,Bangladesh
200s,0,0,0,0,Litton Das,Bangladesh
300s,0,0,0,0,Litton Das,Bangladesh
400s,0,0,0,0,Litton Das,Bangladesh
Matches,10,34,17,0,Mohammad Mithun,Bangladesh
Innings,18,30,13,0,Mohammad Mithun,Bangladesh
Runs,333,714,127,0,Mohammad Mithun,Bangladesh
Balls,752,921,136,0,Mohammad Mithun,Bangladesh
Highest,67,73,47,0,Mohammad Mithun,Bangladesh
Average,18.5,27.46,10.58,0,Mohammad Mithun,Bangladesh
SR,44.29,77.53,93.39,0,Mohammad Mithun,Bangladesh
Not Out,0,4,1,0,Mohammad Mithun,Bangladesh
Fours,32,61,10,0,Mohammad Mithun,Bangladesh
Sixes,3,16,4,0,Mohammad Mithun,Bangladesh
Ducks,4,2,2,0,Mohammad Mithun,Bangladesh
50s,2,6,0,0,Mohammad Mithun,Bangladesh
100s,0,0,0,0,Mohammad Mithun,Bangladesh
200s,0,0,0,0,Mohammad Mithun,Bangladesh
300s,0,0,0,0,Mohammad Mithun,Bangladesh
400s,0,0,0,0,Mohammad Mithun,Bangladesh
Matches,36,220,54,1,Mashrafe Mortaza,Bangladesh
Innings,67,158,39,1,Mashrafe Mortaza,Bangladesh
Runs,797,1787,377,2,Mashrafe Mortaza,Bangladesh
Balls,1186,2041,278,2,Mashrafe Mortaza,Bangladesh
Highest,79,51,36,2,Mashrafe Mortaza,Bangladesh
Average,12.85,13.75,13.46,0,Mashrafe Mortaza,Bangladesh
SR,67.21,87.56,135.62,100,Mashrafe Mortaza,Bangladesh
Not Out,5,28,11,1,Mashrafe Mortaza,Bangladesh
Fours,95,149,28,0,Mashrafe Mortaza,Bangladesh
Sixes,22,62,23,0,Mashrafe Mortaza,Bangladesh
Ducks,12,15,6,0,Mashrafe Mortaza,Bangladesh
50s,3,1,0,0,Mashrafe Mortaza,Bangladesh
100s,0,0,0,0,Mashrafe Mortaza,Bangladesh
200s,0,0,0,0,Mashrafe Mortaza,Bangladesh
300s,0,0,0,0,Mashrafe Mortaza,Bangladesh
400s,0,0,0,0,Mashrafe Mortaza,Bangladesh
Matches,27,104,28,0,Rubel Hossain,Bangladesh
Innings,47,53,15,0,Rubel Hossain,Bangladesh
Runs,265,144,20,0,Rubel Hossain,Bangladesh
Balls,603,277,36,0,Rubel Hossain,Bangladesh
Highest,45,17,8,0,Rubel Hossain,Bangladesh
Average,9.46,4.97,4,0,Rubel Hossain,Bangladesh
SR,43.95,51.99,55.56,0,Rubel Hossain,Bangladesh
Not Out,19,24,10,0,Rubel Hossain,Bangladesh
Fours,34,14,1,0,Rubel Hossain,Bangladesh
Sixes,4,2,0,0,Rubel Hossain,Bangladesh
Ducks,7,11,4,0,Rubel Hossain,Bangladesh
50s,0,0,0,0,Rubel Hossain,Bangladesh
100s,0,0,0,0,Rubel Hossain,Bangladesh
200s,0,0,0,0,Rubel Hossain,Bangladesh
300s,0,0,0,0,Rubel Hossain,Bangladesh
400s,0,0,0,0,Rubel Hossain,Bangladesh
Matches,15,109,106,57,Mustafizur Rahman,Bangladesh
Innings,22,54,32,9,Mustafizur Rahman,Bangladesh
Runs,66,166,87,13,Mustafizur Rahman,Bangladesh
Balls,162,319,117,23,Mustafizur Rahman,Bangladesh
Highest,16,20,15,8,Mustafizur Rahman,Bangladesh
Average,4.4,7.9,4.58,13,Mustafizur Rahman,Bangladesh
SR,40.75,52.04,74.36,56.53,Mustafizur Rahman,Bangladesh
Not Out,7,33,13,8,Mustafizur Rahman,Bangladesh
Fours,3,18,3,0,Mustafizur Rahman,Bangladesh
Sixes,5,1,5,1,Mustafizur Rahman,Bangladesh
Ducks,8,9,7,0,Mustafizur Rahman,Bangladesh
50s,0,0,0,0,Mustafizur Rahman,Bangladesh
100s,0,0,0,0,Mustafizur Rahman,Bangladesh
200s,0,0,0,0,Mustafizur Rahman,Bangladesh
300s,0,0,0,0,Mustafizur Rahman,Bangladesh
400s,0,0,0,0,Mustafizur Rahman,Bangladesh
Matches,13,2,3,0,Abu Jayed,Bangladesh
Innings,22,0,2,0,Abu Jayed,Bangladesh
Runs,36,0,3,0,Abu Jayed,Bangladesh
Balls,157,0,7,0,Abu Jayed,Bangladesh
Highest,8,0,2,0,Abu Jayed,Bangladesh
Average,2.57,0,1.5,0,Abu Jayed,Bangladesh
SR,22.93,0,42.86,0,Abu Jayed,Bangladesh
Not Out,8,0,0,0,Abu Jayed,Bangladesh
Fours,4,0,0,0,Abu Jayed,Bangladesh
Sixes,0,0,0,0,Abu Jayed,Bangladesh
Ducks,7,0,0,0,Abu Jayed,Bangladesh
50s,0,0,0,0,Abu Jayed,Bangladesh
100s,0,0,0,0,Abu Jayed,Bangladesh
200s,0,0,0,0,Abu Jayed,Bangladesh
300s,0,0,0,0,Abu Jayed,Bangladesh
400s,0,0,0,0,Abu Jayed,Bangladesh
Matches,3,86,92,0,Fakhar Zaman,Pakistan
Innings,6,85,84,0,Fakhar Zaman,Pakistan
Runs,192,3651,1848,0,Fakhar Zaman,Pakistan
Balls,359,3890,1390,0,Fakhar Zaman,Pakistan
Highest,94,210,91,0,Fakhar Zaman,Pakistan
Average,32,46.22,22.81,0,Fakhar Zaman,Pakistan
SR,53.49,93.86,132.95,0,Fakhar Zaman,Pakistan
Not Out,0,6,3,0,Fakhar Zaman,Pakistan
Fours,20,409,172,0,Fakhar Zaman,Pakistan
Sixes,1,79,76,0,Fakhar Zaman,Pakistan
Ducks,0,6,6,0,Fakhar Zaman,Pakistan
50s,2,17,11,0,Fakhar Zaman,Pakistan
100s,0,11,0,0,Fakhar Zaman,Pakistan
200s,0,1,0,0,Fakhar Zaman,Pakistan
300s,0,0,0,0,Fakhar Zaman,Pakistan
400s,0,0,0,0,Fakhar Zaman,Pakistan
Matches,24,75,2,0,Imam,Pakistan
Innings,46,74,2,0,Imam,Pakistan
Runs,1568,3152,21,0,Imam,Pakistan
Balls,3404,3846,25,0,Imam,Pakistan
Highest,157,151,14,0,Imam,Pakistan
Average,37.33,46.35,10.5,0,Imam,Pakistan
SR,46.07,81.96,84,0,Imam,Pakistan
Not Out,4,6,0,0,Imam,Pakistan
Fours,170,253,2,0,Imam,Pakistan
Sixes,12,30,0,0,Imam,Pakistan
Ducks,4,3,0,0,Imam,Pakistan
50s,9,20,0,0,Imam,Pakistan
100s,3,9,0,0,Imam,Pakistan
200s,0,0,0,0,Imam,Pakistan
300s,0,0,0,0,Imam,Pakistan
400s,0,0,0,0,Imam,Pakistan
Matches,59,131,128,0,Babar Azam,Pakistan
Innings,108,128,121,0,Babar Azam,Pakistan
Runs,4235,6235,4223,0,Babar Azam,Pakistan
Balls,7787,7089,3268,0,Babar Azam,Pakistan
Highest,196,158,122,0,Babar Azam,Pakistan
Average,42.78,55.18,39.84,0,Babar Azam,Pakistan
SR,54.39,87.96,129.23,0,Babar Azam,Pakistan
Not Out,9,15,15,0,Babar Azam,Pakistan
Fours,495,574,447,0,Babar Azam,Pakistan
Sixes,23,67,73,0,Babar Azam,Pakistan
Ducks,8,4,7,0,Babar Azam,Pakistan
50s,29,37,36,0,Babar Azam,Pakistan
100s,9,19,3,0,Babar Azam,Pakistan
200s,0,0,0,0,Babar Azam,Pakistan
300s,0,0,0,0,Babar Azam,Pakistan
400s,0,0,0,0,Babar Azam,Pakistan
Matches,0,21,58,0,Asif Ali,Pakistan
Innings,0,16,51,0,Asif Ali,Pakistan
Runs,0,382,577,0,Asif Ali,Pakistan
Balls,0,314,431,0,Asif Ali,Pakistan
Highest,0,52,41,0,Asif Ali,Pakistan
Average,0,25.47,15.18,0,Asif Ali,Pakistan
SR,0,121.66,133.88,0,Asif Ali,Pakistan
Not Out,0,1,13,0,Asif Ali,Pakistan
Fours,0,22,27,0,Asif Ali,Pakistan
Sixes,0,21,37,0,Asif Ali,Pakistan
Ducks,0,0,4,0,Asif Ali,Pakistan
50s,0,3,0,0,Asif Ali,Pakistan
100s,0,0,0,0,Asif Ali,Pakistan
200s,0,0,0,0,Asif Ali,Pakistan
300s,0,0,0,0,Asif Ali,Pakistan
400s,0,0,0,0,Asif Ali,Pakistan
Matches,16,45,14,0,Haris Sohail,Pakistan
Innings,27,44,13,0,Haris Sohail,Pakistan
Runs,847,1749,210,0,Haris Sohail,Pakistan
Balls,1936,2045,204,0,Haris Sohail,Pakistan
Highest,147,130,52,0,Haris Sohail,Pakistan
Average,32.58,44.85,19.09,0,Haris Sohail,Pakistan
SR,43.75,85.53,102.95,0,Haris Sohail,Pakistan
Not Out,1,5,2,0,Haris Sohail,Pakistan
Fours,74,138,16,0,Haris Sohail,Pakistan
Sixes,13,28,3,0,Haris Sohail,Pakistan
Ducks,1,1,1,0,Haris Sohail,Pakistan
50s,3,14,2,0,Haris Sohail,Pakistan
100s,2,2,0,0,Haris Sohail,Pakistan
200s,0,0,0,0,Haris Sohail,Pakistan
300s,0,0,0,0,Haris Sohail,Pakistan
400s,0,0,0,0,Haris Sohail,Pakistan
Matches,55,218,119,8,Mohammad Hafeez,Pakistan
Innings,105,216,108,8,Mohammad Hafeez,Pakistan
Runs,3652,6614,2514,64,Mohammad Hafeez,Pakistan
Balls,6520,8634,2060,83,Mohammad Hafeez,Pakistan
Highest,224,140,99,16,Mohammad Hafeez,Pakistan
Average,37.65,32.91,26.46,9.14,Mohammad Hafeez,Pakistan
SR,56.02,76.61,122.04,77.11,Mohammad Hafeez,Pakistan
Not Out,8,15,13,1,Mohammad Hafeez,Pakistan
Fours,455,664,251,7,Mohammad Hafeez,Pakistan
Sixes,28,110,76,2,Mohammad Hafeez,Pakistan
Ducks,8,19,7,0,Mohammad Hafeez,Pakistan
50s,12,38,14,0,Mohammad Hafeez,Pakistan
100s,10,11,0,0,Mohammad Hafeez,Pakistan
200s,1,0,0,0,Mohammad Hafeez,Pakistan
300s,0,0,0,0,Mohammad Hafeez,Pakistan
400s,0,0,0,0,Mohammad Hafeez,Pakistan
Matches,35,287,124,7,Shoaib Malik,Pakistan
Innings,60,258,111,5,Shoaib Malik,Pakistan
Runs,1898,7534,2435,52,Shoaib Malik,Pakistan
Balls,4155,9199,1938,47,Shoaib Malik,Pakistan
Highest,245,143,75,24,Shoaib Malik,Pakistan
Average,35.15,34.56,31.22,13,Shoaib Malik,Pakistan
SR,45.68,81.91,125.65,110.64,Shoaib Malik,Pakistan
Not Out,6,40,33,1,Shoaib Malik,Pakistan
Fours,239,603,196,5,Shoaib Malik,Pakistan
Sixes,17,113,69,0,Shoaib Malik,Pakistan
Ducks,6,15,2,0,Shoaib Malik,Pakistan
50s,8,44,9,0,Shoaib Malik,Pakistan
100s,3,9,0,0,Shoaib Malik,Pakistan
200s,1,0,0,0,Shoaib Malik,Pakistan
300s,0,0,0,0,Shoaib Malik,Pakistan
400s,0,0,0,0,Shoaib Malik,Pakistan
Matches,6,70,109,0,Shadab Khan,Pakistan
Innings,11,44,56,0,Shadab Khan,Pakistan
Runs,300,855,737,0,Shadab Khan,Pakistan
Balls,479,997,530,0,Shadab Khan,Pakistan
Highest,56,86,52,0,Shadab Khan,Pakistan
Average,33.33,25.91,17.55,0,Shadab Khan,Pakistan
SR,62.64,85.76,139.06,0,Shadab Khan,Pakistan
Not Out,2,11,14,0,Shadab Khan,Pakistan
Fours,38,51,51,0,Shadab Khan,Pakistan
Sixes,0,19,36,0,Shadab Khan,Pakistan
Ducks,0,3,6,0,Shadab Khan,Pakistan
50s,3,4,1,0,Shadab Khan,Pakistan
100s,0,0,0,0,Shadab Khan,Pakistan
200s,0,0,0,0,Shadab Khan,Pakistan
300s,0,0,0,0,Shadab Khan,Pakistan
400s,0,0,0,0,Shadab Khan,Pakistan
Matches,0,55,75,0,Imad Wasim,Pakistan
Innings,0,40,50,0,Imad Wasim,Pakistan
Runs,0,986,554,0,Imad Wasim,Pakistan
Balls,0,894,426,0,Imad Wasim,Pakistan
Highest,0,63,64,0,Imad Wasim,Pakistan
Average,0,42.87,15.83,0,Imad Wasim,Pakistan
SR,0,110.3,130.05,0,Imad Wasim,Pakistan
Not Out,0,17,15,0,Imad Wasim,Pakistan
Fours,0,91,55,0,Imad Wasim,Pakistan
Sixes,0,19,12,0,Imad Wasim,Pakistan
Ducks,0,1,6,0,Imad Wasim,Pakistan
50s,0,5,1,0,Imad Wasim,Pakistan
100s,0,0,0,0,Imad Wasim,Pakistan
200s,0,0,0,0,Imad Wasim,Pakistan
300s,0,0,0,0,Imad Wasim,Pakistan
400s,0,0,0,0,Imad Wasim,Pakistan
Matches,54,117,61,0,Sarfaraz Ahmed,Pakistan
Innings,95,91,42,0,Sarfaraz Ahmed,Pakistan
Runs,3031,2315,818,0,Sarfaraz Ahmed,Pakistan
Balls,4320,2635,653,0,Sarfaraz Ahmed,Pakistan
Highest,118,105,89,0,Sarfaraz Ahmed,Pakistan
Average,36.96,33.55,27.27,0,Sarfaraz Ahmed,Pakistan
SR,70.17,87.86,125.27,0,Sarfaraz Ahmed,Pakistan
Not Out,13,22,12,0,Sarfaraz Ahmed,Pakistan
Fours,309,174,79,0,Sarfaraz Ahmed,Pakistan
Sixes,9,12,15,0,Sarfaraz Ahmed,Pakistan
Ducks,4,1,2,0,Sarfaraz Ahmed,Pakistan
50s,21,11,3,0,Sarfaraz Ahmed,Pakistan
100s,4,2,0,0,Sarfaraz Ahmed,Pakistan
200s,0,0,0,0,Sarfaraz Ahmed,Pakistan
300s,0,0,0,0,Sarfaraz Ahmed,Pakistan
400s,0,0,0,0,Sarfaraz Ahmed,Pakistan
Matches,27,91,36,0,Wahab Riaz,Pakistan
Innings,41,66,18,0,Wahab Riaz,Pakistan
Runs,306,740,154,0,Wahab Riaz,Pakistan
Balls,727,849,123,0,Wahab Riaz,Pakistan
Highest,39,54,30,0,Wahab Riaz,Pakistan
Average,8.5,14.51,12.83,0,Wahab Riaz,Pakistan
SR,42.1,87.17,125.21,0,Wahab Riaz,Pakistan
Not Out,5,15,6,0,Wahab Riaz,Pakistan
Fours,32,55,10,0,Wahab Riaz,Pakistan
Sixes,5,30,7,0,Wahab Riaz,Pakistan
Ducks,9,12,2,0,Wahab Riaz,Pakistan
50s,0,3,0,0,Wahab Riaz,Pakistan
100s,0,0,0,0,Wahab Riaz,Pakistan
200s,0,0,0,0,Wahab Riaz,Pakistan
300s,0,0,0,0,Wahab Riaz,Pakistan
400s,0,0,0,0,Wahab Riaz,Pakistan
Matches,31,64,79,0,Shaheen Afridi,Pakistan
Innings,41,37,27,0,Shaheen Afridi,Pakistan
Runs,249,261,211,0,Shaheen Afridi,Pakistan
Balls,556,310,174,0,Shaheen Afridi,Pakistan
Highest,29,25,23,0,Shaheen Afridi,Pakistan
Average,8.03,13.05,12.41,0,Shaheen Afridi,Pakistan
SR,44.79,84.2,121.27,0,Shaheen Afridi,Pakistan
Not Out,10,17,10,0,Shaheen Afridi,Pakistan
Fours,31,23,12,0,Shaheen Afridi,Pakistan
Sixes,5,10,15,0,Shaheen Afridi,Pakistan
Ducks,9,6,4,0,Shaheen Afridi,Pakistan
50s,0,0,0,0,Shaheen Afridi,Pakistan
100s,0,0,0,0,Shaheen Afridi,Pakistan
200s,0,0,0,0,Shaheen Afridi,Pakistan
300s,0,0,0,0,Shaheen Afridi,Pakistan
400s,0,0,0,0,Shaheen Afridi,Pakistan
Matches,24,66,51,0,Hasan Ali,Pakistan
Innings,38,38,19,0,Hasan Ali,Pakistan
Runs,382,383,129,0,Hasan Ali,Pakistan
Balls,527,327,69,0,Hasan Ali,Pakistan
Highest,30,59,23,0,Hasan Ali,Pakistan
Average,11.94,14.19,14.33,0,Hasan Ali,Pakistan
SR,72.49,117.13,186.96,0,Hasan Ali,Pakistan
Not Out,6,11,10,0,Hasan Ali,Pakistan
Fours,34,28,7,0,Hasan Ali,Pakistan
Sixes,20,24,11,0,Hasan Ali,Pakistan
Ducks,7,4,4,0,Hasan Ali,Pakistan
50s,0,2,0,0,Hasan Ali,Pakistan
100s,0,0,0,0,Hasan Ali,Pakistan
200s,0,0,0,0,Hasan Ali,Pakistan
300s,0,0,0,0,Hasan Ali,Pakistan
400s,0,0,0,0,Hasan Ali,Pakistan
Matches,0,15,28,0,Mohammad Hasnain,Pakistan
Innings,0,7,12,0,Mohammad Hasnain,Pakistan
Runs,0,53,24,0,Mohammad Hasnain,Pakistan
Balls,0,34,26,0,Mohammad Hasnain,Pakistan
Highest,0,28,8,0,Mohammad Hasnain,Pakistan
Average,0,17.67,24,0,Mohammad Hasnain,Pakistan
SR,0,155.89,92.31,0,Mohammad Hasnain,Pakistan
Not Out,0,4,11,0,Mohammad Hasnain,Pakistan
Fours,0,9,2,0,Mohammad Hasnain,Pakistan
Sixes,0,1,1,0,Mohammad Hasnain,Pakistan
Ducks,0,1,0,0,Mohammad Hasnain,Pakistan
50s,0,0,0,0,Mohammad Hasnain,Pakistan
100s,0,0,0,0,Mohammad Hasnain,Pakistan
200s,0,0,0,0,Mohammad Hasnain,Pakistan
300s,0,0,0,0,Mohammad Hasnain,Pakistan
400s,0,0,0,0,Mohammad Hasnain,Pakistan
Matches,36,61,62,0,Mohammad Amir,Pakistan
Innings,67,30,17,0,Mohammad Amir,Pakistan
Runs,751,363,65,0,Mohammad Amir,Pakistan
Balls,1980,444,76,0,Mohammad Amir,Pakistan
Highest,48,73,21,0,Mohammad Amir,Pakistan
Average,13.41,18.15,7.22,0,Mohammad Amir,Pakistan
SR,37.93,81.76,85.53,0,Mohammad Amir,Pakistan
Not Out,11,10,8,0,Mohammad Amir,Pakistan
Fours,91,32,3,0,Mohammad Amir,Pakistan
Sixes,3,8,3,0,Mohammad Amir,Pakistan
Ducks,7,5,2,0,Mohammad Amir,Pakistan
50s,0,2,0,0,Mohammad Amir,Pakistan
100s,0,0,0,0,Mohammad Amir,Pakistan
200s,0,0,0,0,Mohammad Amir,Pakistan
300s,0,0,0,0,Mohammad Amir,Pakistan
400s,0,0,0,0,Mohammad Amir,Pakistan
Matches,44,127,26,0,Lahiru Thirimanne,Sri Lanka
Innings,85,105,20,0,Lahiru Thirimanne,Sri Lanka
Runs,2088,3164,291,0,Lahiru Thirimanne,Sri Lanka
Balls,5294,4389,267,0,Lahiru Thirimanne,Sri Lanka
Highest,155,139,44,0,Lahiru Thirimanne,Sri Lanka
Average,26.43,34.77,16.17,0,Lahiru Thirimanne,Sri Lanka
SR,39.45,72.09,108.99,0,Lahiru Thirimanne,Sri Lanka
Not Out,6,14,2,0,Lahiru Thirimanne,Sri Lanka
Fours,207,244,27,0,Lahiru Thirimanne,Sri Lanka
Sixes,3,25,5,0,Lahiru Thirimanne,Sri Lanka
Ducks,11,7,1,0,Lahiru Thirimanne,Sri Lanka
50s,10,21,0,0,Lahiru Thirimanne,Sri Lanka
100s,3,4,0,0,Lahiru Thirimanne,Sri Lanka
200s,0,0,0,0,Lahiru Thirimanne,Sri Lanka
300s,0,0,0,0,Lahiru Thirimanne,Sri Lanka
400s,0,0,0,0,Lahiru Thirimanne,Sri Lanka
Matches,100,50,0,0,Dimuth Karunaratne,Sri Lanka
Innings,191,46,0,0,Dimuth Karunaratne,Sri Lanka
Runs,7222,1316,0,0,Dimuth Karunaratne,Sri Lanka
Balls,14024,1655,0,0,Dimuth Karunaratne,Sri Lanka
Highest,244,103,0,0,Dimuth Karunaratne,Sri Lanka
Average,39.25,31.33,0,0,Dimuth Karunaratne,Sri Lanka
SR,51.5,79.52,0,0,Dimuth Karunaratne,Sri Lanka
Not Out,7,4,0,0,Dimuth Karunaratne,Sri Lanka
Fours,764,131,0,0,Dimuth Karunaratne,Sri Lanka
Sixes,12,1,0,0,Dimuth Karunaratne,Sri Lanka
Ducks,13,4,0,0,Dimuth Karunaratne,Sri Lanka
50s,39,11,0,0,Dimuth Karunaratne,Sri Lanka
100s,16,1,0,0,Dimuth Karunaratne,Sri Lanka
200s,1,0,0,0,Dimuth Karunaratne,Sri Lanka
300s,0,0,0,0,Dimuth Karunaratne,Sri Lanka
400s,0,0,0,0,Dimuth Karunaratne,Sri Lanka
Matches,0,51,37,0,Avishka Fernando,Sri Lanka
Innings,0,50,35,0,Avishka Fernando,Sri Lanka
Runs,0,1589,363,0,Avishka Fernando,Sri Lanka
Balls,0,1787,386,0,Avishka Fernando,Sri Lanka
Highest,0,127,37,0,Avishka Fernando,Sri Lanka
Average,0,31.78,11,0,Avishka Fernando,Sri Lanka
SR,0,88.92,94.05,0,Avishka Fernando,Sri Lanka
Not Out,0,0,2,0,Avishka Fernando,Sri Lanka
Fours,0,165,28,0,Avishka Fernando,Sri Lanka
Sixes,0,31,8,0,Avishka Fernando,Sri Lanka
Ducks,0,5,5,0,Avishka Fernando,Sri Lanka
50s,0,9,0,0,Avishka Fernando,Sri Lanka
100s,0,4,0,0,Avishka Fernando,Sri Lanka
200s,0,0,0,0,Avishka Fernando,Sri Lanka
300s,0,0,0,0,Avishka Fernando,Sri Lanka
400s,0,0,0,0,Avishka Fernando,Sri Lanka
Matches,118,226,90,49,Angelo Mathews,Sri Lanka
Innings,210,194,73,42,Angelo Mathews,Sri Lanka
Runs,8167,5916,1416,724,Angelo Mathews,Sri Lanka
Balls,16856,7135,1175,575,Angelo Mathews,Sri Lanka
Highest,200,139,81,65,Angelo Mathews,Sri Lanka
Average,44.63,40.52,27.76,23.35,Angelo Mathews,Sri Lanka
SR,48.46,82.92,120.52,125.92,Angelo Mathews,Sri Lanka
Not Out,27,48,22,11,Angelo Mathews,Sri Lanka
Fours,831,468,92,44,Angelo Mathews,Sri Lanka
Sixes,89,90,50,29,Angelo Mathews,Sri Lanka
Ducks,6,16,1,3,Angelo Mathews,Sri Lanka
50s,45,40,6,1,Angelo Mathews,Sri Lanka
100s,16,3,0,0,Angelo Mathews,Sri Lanka
200s,1,0,0,0,Angelo Mathews,Sri Lanka
300s,0,0,0,0,Angelo Mathews,Sri Lanka
400s,0,0,0,0,Angelo Mathews,Sri Lanka
Matches,63,90,45,0,Dhananjaya de Silva,Sri Lanka
Innings,112,82,44,0,Dhananjaya de Silva,Sri Lanka
Runs,4095,1865,847,0,Dhananjaya de Silva,Sri Lanka
Balls,7013,2373,731,0,Dhananjaya de Silva,Sri Lanka
Highest,173,93,66,0,Dhananjaya de Silva,Sri Lanka
Average,38.63,25.9,21.18,0,Dhananjaya de Silva,Sri Lanka
SR,58.4,78.6,115.87,0,Dhananjaya de Silva,Sri Lanka
Not Out,6,10,4,0,Dhananjaya de Silva,Sri Lanka
Fours,495,186,71,0,Dhananjaya de Silva,Sri Lanka
Sixes,35,17,18,0,Dhananjaya de Silva,Sri Lanka
Ducks,10,4,2,0,Dhananjaya de Silva,Sri Lanka
50s,19,10,3,0,Dhananjaya de Silva,Sri Lanka
100s,12,0,0,0,Dhananjaya de Silva,Sri Lanka
200s,0,0,0,0,Dhananjaya de Silva,Sri Lanka
300s,0,0,0,0,Dhananjaya de Silva,Sri Lanka
400s,0,0,0,0,Dhananjaya de Silva,Sri Lanka
Matches,5,27,22,0,Milinda Siriwardana,Sri Lanka
Innings,9,24,19,0,Milinda Siriwardana,Sri Lanka
Runs,298,516,275,0,Milinda Siriwardana,Sri Lanka
Balls,454,525,208,0,Milinda Siriwardana,Sri Lanka
Highest,68,66,42,0,Milinda Siriwardana,Sri Lanka
Average,33.11,22.43,17.19,0,Milinda Siriwardana,Sri Lanka
SR,65.64,98.29,132.22,0,Milinda Siriwardana,Sri Lanka
Not Out,0,1,3,0,Milinda Siriwardana,Sri Lanka
Fours,32,39,16,0,Milinda Siriwardana,Sri Lanka
Sixes,11,13,12,0,Milinda Siriwardana,Sri Lanka
Ducks,1,1,4,0,Milinda Siriwardana,Sri Lanka
50s,2,3,0,0,Milinda Siriwardana,Sri Lanka
100s,0,0,0,0,Milinda Siriwardana,Sri Lanka
200s,0,0,0,0,Milinda Siriwardana,Sri Lanka
300s,0,0,0,0,Milinda Siriwardana,Sri Lanka
400s,0,0,0,0,Milinda Siriwardana,Sri Lanka
Matches,6,166,84,37,Thisara Perera,Sri Lanka
Innings,10,133,74,30,Thisara Perera,Sri Lanka
Runs,203,2338,1204,422,Thisara Perera,Sri Lanka
Balls,278,2086,794,307,Thisara Perera,Sri Lanka
Highest,75,140,61,40,Thisara Perera,Sri Lanka
Average,20.3,19.98,23.15,19.18,Thisara Perera,Sri Lanka
SR,73.03,112.09,151.64,137.46,Thisara Perera,Sri Lanka
Not Out,0,16,22,8,Thisara Perera,Sri Lanka
Fours,21,176,88,23,Thisara Perera,Sri Lanka
