ROWHEADER,Test,ODI,T20,IPL,name
400s,0.0,0.0,0.0,0.0,Hardik Pandya
Matches,16.0,0.0,0.0,24.0,Hanuma Vihari
Innings,28.0,0.0,0.0,23.0,Hanuma Vihari
Runs,839.0,0.0,0.0,284.0,Hanuma Vihari
Balls,1988.0,0.0,0.0,321.0,Hanuma Vihari
Highest,111.0,0.0,0.0,46.0,Hanuma Vihari
Average,33.56,0.0,0.0,14.2,Hanuma Vihari
SR,42.21,0.0,0.0,88.48,Hanuma Vihari
Not Out,3.0,0.0,0.0,3.0,Hanuma Vihari
Fours,107.0,0.0,0.0,23.0,Hanuma Vihari
Sixes,2.0,0.0,0.0,1.0,Hanuma Vihari
Ducks,1.0,0.0,0.0,0.0,Hanuma Vihari
50s,5.0,0.0,0.0,0.0,Hanuma Vihari
100s,1.0,0.0,0.0,0.0,Hanuma Vihari
200s,0.0,0.0,0.0,0.0,Hanuma Vihari
300s,0.0,0.0,0.0,0.0,Hanuma Vihari
400s,0.0,0.0,0.0,0.0,Hanuma Vihari
Matches,80.0,204.0,74.0,247.0,Ravindra Jadeja
Innings,118.0,137.0,41.0,191.0,Ravindra Jadeja
Runs,3370.0,2806.0,515.0,3051.0,Ravindra Jadeja
Balls,6100.0,3284.0,405.0,2361.0,Ravindra Jadeja
Highest,175.0,87.0,46.0,62.0,Ravindra Jadeja
Average,34.74,32.63,21.46,27.0,Ravindra Jadeja
SR,55.25,85.45,127.17,129.23,Ravindra Jadeja
Not Out,21.0,51.0,17.0,78.0,Ravindra Jadeja
Fours,330.0,205.0,39.0,220.0,Ravindra Jadeja
Sixes,69.0,54.0,14.0,110.0,Ravindra Jadeja
Ducks,8.0,6.0,3.0,9.0,Ravindra Jadeja
50s,22.0,13.0,0.0,3.0,Ravindra Jadeja
100s,4.0,0.0,0.0,0.0,Ravindra Jadeja
200s,0.0,0.0,0.0,0.0,Ravindra Jadeja
300s,0.0,0.0,0.0,0.0,Ravindra Jadeja
400s,0.0,0.0,0.0,0.0,Ravindra Jadeja
Matches,11.0,47.0,25.0,102.0,Shardul Thakur
Innings,18.0,25.0,6.0,41.0,Shardul Thakur
Runs,331.0,329.0,69.0,321.0,Shardul Thakur
